Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,403,328,389,412,680,275,13132,0.0,False
jmeter_view_issue,13731,221,196,332,370,447,110,1181,0.0,False
jmeter_view_dashboard,4033,104,97,148,168,207,51,675,0.0,False
jmeter_view_scrum_board,3231,143,131,221,260,335,66,579,0.0,False
jmeter_search_jql,4445,552,530,685,737,850,356,2670,0.0,False
jmeter_view_backlog,2414,398,370,525,575,671,251,1297,0.0,False
jmeter_create_issue:open_quick_create,1617,83,75,123,142,175,48,222,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1617,196,170,289,319,398,124,547,0.0,False
jmeter_view_kanban_board,2817,144,120,226,267,366,74,556,6.0,False
jmeter_browse_projects,3621,59,55,85,98,127,32,530,0.0,False
jmeter_edit_issue:open_editor,2014,103,93,155,175,211,62,260,0.0,False
jmeter_edit_issue:save_edit,2014,169,147,247,283,364,95,925,0.0,False
jmeter_view_project_summary,1207,98,88,139,159,211,54,982,0.0,False
jmeter_app_specific_action,1999,620,602,747,796,927,432,1410,0.0,True
jmeter_add_comment:open_comment,801,71,64,102,118,150,39,184,0.0,False
jmeter_add_comment:save_comment,801,257,232,364,404,458,149,997,0.0,False
jmeter_browse_boards,395,73,66,106,115,141,41,236,0.0,False
selenium_login:open_login_page,231,119,113,128,139,173,102,773,0.0,False
selenium_login:login_and_view_dashboard,231,457,441,480,495,708,399,2112,0.0,False
selenium_login,231,577,557,604,621,856,509,2886,0.0,False
selenium_browse_projects_list,231,248,243,266,284,329,205,472,0.0,False
selenium_browse_boards_list,231,292,236,280,752,803,224,2011,0.0,False
selenium_create_issue:open_quick_create,231,676,672,716,732,785,615,858,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,231,608,607,616,618,625,595,650,0.0,False
selenium_create_issue:fill_and_submit_issue_form,231,1100,1098,1138,1147,1178,1037,1242,0.0,False
selenium_create_issue,231,1776,1772,1840,1856,1932,1685,2101,0.0,False
selenium_edit_issue:open_edit_issue_form,231,447,419,564,594,628,365,840,0.0,False
selenium_edit_issue:save_edit_issue_form,231,537,525,621,648,677,435,692,0.0,False
selenium_edit_issue,231,1390,1382,1467,1507,1533,1262,1823,0.0,False
selenium_save_comment:open_comment_form,231,307,312,350,358,380,205,389,0.0,False
selenium_save_comment:submit_form,231,981,956,1044,1101,1551,844,2729,0.0,False
selenium_save_comment,231,1441,1414,1523,1569,2026,1220,3674,0.0,False
selenium_search_jql,231,1264,1247,1369,1416,1580,1108,2108,0.0,False
selenium_view_scrum_board_backlog,231,1093,1143,1246,1273,1310,762,3304,0.0,False
selenium_view_scrum_board,231,818,795,864,892,942,407,2610,0.0,False
selenium_view_kanban_board,231,726,681,1102,1196,1385,344,1435,0.0,False
selenium_view_dashboard,231,402,401,552,596,677,197,706,0.0,False
selenium_view_issue,231,808,801,896,934,985,671,1073,0.0,False
selenium_project_summary,231,358,338,420,432,492,257,1720,0.0,False
selenium_log_out,231,314,307,359,376,397,250,439,0.0,False
